,Variable Name,Variable Label,Variable Order in File,Variable Type,Length
0,DOEID,Unique identifier for each respondent,1,Character,5
1,REGIONC,Census Region,2,Numeric,8
2,DIVISION,Census Division,3,Numeric,8
3,REPORTABLE_DOMAIN,Reportable states and groups of states,4,Numeric,8
4,TYPEHUQ,Type of housing unit,5,Numeric,8
5,NWEIGHT,Final sample weight,6,Numeric,8
6,HDD65,"Heating degree days in 2009, base temperature 65F",7,Numeric,8
7,CDD65,"Cooling degree days in 2009, base temperature 65F",8,Numeric,8
8,HDD30YR,"Heating degree days, 30-year average 1981-2010, base 65F",9,Numeric,8
9,CDD30YR,"Cooling degree days, 30-year average 1981-2010, base 65F",10,Numeric,8
10,Climate_Region_Pub,Building America Climate Region (collapsed for public file),11,Numeric,8
11,AIA_Zone,"AIA Climate Zone, based on average temperatures from 1981 - 2010",12,Numeric,8
12,METROMICRO,Housing unit in Census Metropolitan Statistical Area or Micropolitan Statistical Area,13,Character,5
13,UR,Housing unit classified as urban or rural by Census,14,Character,1
14,KOWNRENT,"Housing unit is owned, rented, or occupied without payment of rent",15,Numeric,8
15,CONDCOOP,Housing unit part of condominium or cooperative,16,Numeric,8
16,YEARMADE,Year housing unit was built,17,Numeric,8
17,YEARMADERANGE,Year range when housing unit was built,18,Numeric,8
18,OCCUPYYRANGE,Year range when household moved in,19,Numeric,8
19,CONVERSION,Converted 2-4 unit apartment building,20,Numeric,8
20,ORIG1FAM,Converted 2-4 unit apartment building was originally a single-family house,21,Numeric,8
21,LOOKLIKE,Converted 2-4 unit apartment building more like single family house or apartment building,22,Numeric,8
22,NUMFLRS,Number of floors in a 5+ unit apartment building,23,Numeric,8
23,NUMAPTS,Number of apartment units in a 5+ unit apartment building,24,Numeric,8
24,WALLTYPE,Major outside wall material,25,Numeric,8
25,ROOFTYPE,Major roofing material,26,Numeric,8
26,STUDIO,Studio apartment,27,Numeric,8
27,NAPTFLRS,Number of floors in an apartment (Number of levels in housing unit that is an apartment),28,Numeric,8
28,STORIES,Number of stories in a single-family home,29,Numeric,8
29,TYPEHUQ4,Addition to a mobile home,30,Numeric,8
30,BEDROOMS,Number of bedrooms,31,Numeric,8
31,NCOMBATH,Number of full bathrooms,32,Numeric,8
32,NHAFBATH,Number of half bathrooms,33,Numeric,8
33,OTHROOMS,Number of rooms other than bedroom(s) and bathroom(s),34,Numeric,8
34,TOTROOMS,Total number of rooms in the housing unit,35,Numeric,8
35,CELLAR,Basement in housing unit,36,Numeric,8
36,CRAWL,Housing unit over a crawl space,37,Numeric,8
37,CONCRETE,Housing unit over a concrete slab,38,Numeric,8
38,BASEFIN,Finished basement,39,Numeric,8
39,FINBASERMS,Number of finished rooms in the basement,40,Numeric,8
40,BASEHEAT,Heating used in basement,41,Numeric,8
41,BASEHT2,All or partial basement heating,42,Numeric,8
42,PCTBSTHT,Portion of the basement which is heated,43,Numeric,8
43,BASECOOL,Cooling used in basement,44,Numeric,8
44,BASECL2,All or partial basement cooling,45,Numeric,8
45,PCTBSTCL,Portion of the basement which is cooled,46,Numeric,8
46,BASEUSE,Portion of basement exclusively used by housing unit in apartment building with 2-4 units,47,Numeric,8
47,ATTIC,Attic in housing unit,48,Numeric,8
48,ATTICFIN,Finished attic,49,Numeric,8
49,FINATTRMS,Number of finished rooms in the attic,50,Numeric,8
50,ATTCHEAT,Heating used in attic,51,Numeric,8
51,ATTCHT2,All or partial attic heating,52,Numeric,8
52,PCTATTHT,Portion of the attic which is heated,53,Numeric,8
53,ATTCCOOL,Cooling used in attic,54,Numeric,8
54,ATTCCL2,All or partial attic cooling,55,Numeric,8
55,PCTATTCL,Portion of the attic which is cooled,56,Numeric,8
56,ATTICUSE,Portion of attic exclusively used by housing unit in apartment building with 2-4 units,57,Numeric,8
57,PRKGPLC1,Attached garage,58,Numeric,8
58,SIZEOFGARAGE,Size of attached garage,59,Numeric,8
59,GARGLOC,Location of attached garage,60,Numeric,8
60,GARGHEAT,Heating used in attached garage,61,Numeric,8
61,GARGCOOL,Cooling used in attached garage,62,Numeric,8
62,PRKGPLC2,Detached garage or carport,63,Numeric,8
63,SIZEOFDETACH,Size of detached garage or carport,64,Numeric,8
64,OUTLET,Outlet within 20 feet of vehicle parking,65,Numeric,8
65,ZKOWNRENT,Imputation flag for KOWNRENT,66,Numeric,8
66,ZCONDCOOP,Imputation flag for CONDCOOP,67,Numeric,8
67,ZYEARMADE,Imputation flag for YEARMADE,68,Numeric,8
68,ZYEARMADERANGE,Imputation flag for YEARMADERANGE,69,Numeric,8
69,ZOCCUPYYRANGE,Imputation flag for OCCUPYYRANGE,70,Numeric,8
70,ZCONVERSION,Imputation flag for CONVERSION,71,Numeric,8
71,ZORIG1FAM,Imputation flag for ORIG1FAM,72,Numeric,8
72,ZLOOKLIKE,Imputation flag for LOOKLIKE,73,Numeric,8
73,ZNUMFLRS,Imputation flag for NUMFLRS,74,Numeric,8
74,ZNUMAPTS,Imputation flag for NUMAPTS,75,Numeric,8
75,ZWALLTYPE,Imputation flag for WALLTYPE,76,Numeric,8
76,ZROOFTYPE,Imputation flag for ROOFTYPE,77,Numeric,8
77,ZSTUDIO,Imputation flag for STUDIO,78,Numeric,8
78,ZNAPTFLRS,Imputation flag for NAPTFLRS,79,Numeric,8
79,ZSTORIES,Imputation flag for STORIES,80,Numeric,8
80,ZTYPEHUQ4,Imputation flag for TYPEHUQ4,81,Numeric,8
81,ZBEDROOMS,Imputation flag for BEDROOMS,82,Numeric,8
82,ZNCOMBATH,Imputation flag for NCOMBATH,83,Numeric,8
83,ZNHAFBATH,Imputation flag for NHAFBATH,84,Numeric,8
84,ZOTHROOMS,Imputation flag for OTHROOMS,85,Numeric,8
85,ZCELLAR,Imputation flag for CELLAR,86,Numeric,8
86,ZCRAWL,Imputation flag for CRAWL,87,Numeric,8
87,ZCONCRETE,Imputation flag for CONCRETE,88,Numeric,8
88,ZBASEFIN,Imputation flag for BASEFIN,89,Numeric,8
89,ZFINBASERMS,Imputation flag for FINBASERMS,90,Numeric,8
90,ZBASEHEAT,Imputation flag for BASEHEAT,91,Numeric,8
91,ZBASEHT2,Imputation flag for BASEHT2,92,Numeric,8
92,ZPCTBSTHT,Imputation flag for PCTBSTHT,93,Numeric,8
93,ZBASECOOL,Imputation flag for BASECOOL,94,Numeric,8
94,ZBASECL2,Imputation flag for BASECL2,95,Numeric,8
95,ZPCTBSTCL,Imputation flag for PCTBSTCL,96,Numeric,8
96,ZBASEUSE,Imputation flag for BASEUSE,97,Numeric,8
97,ZATTIC,Imputation flag for ATTIC,98,Numeric,8
98,ZATTICFIN,Imputation flag for ATTICFIN,99,Numeric,8
99,ZFINATTRMS,Imputation flag for FINATTRMS,100,Numeric,8
100,ZATTCHEAT,Imputation flag for ATTCHEAT,101,Numeric,8
101,ZATTCHT2,Imputation flag for ATTCHT2,102,Numeric,8
102,ZPCTATTHT,Imputation flag for PCTATTHT,103,Numeric,8
103,ZATTCCOOL,Imputation flag for ATTCCOOL,104,Numeric,8
104,ZPCTATTCL,Imputation flag for PCTATTCL,105,Numeric,8
105,ZATTCCL2,Imputation flag for ATTCCL2,106,Numeric,8
106,ZATTICUSE,Imputation flag for ATTICUSE,107,Numeric,8
107,ZPRKGPLC1,Imputation flag for PRKGPLC1,108,Numeric,8
108,ZSIZEOFGARAGE,Imputation flag for SIZEOFGARAGE,109,Numeric,8
109,ZGARGLOC,Imputation flag for GARGLOC,110,Numeric,8
110,ZGARGHEAT,Imputation flag for GARGHEAT,111,Numeric,8
111,ZGARGCOOL,Imputation flag for GARGCOOL,112,Numeric,8
112,ZPRKGPLC2,Imputation flag for PRKGPLC2,113,Numeric,8
113,ZSIZEOFDETACH,Imputation flag for SIZEOFDETACH,114,Numeric,8
114,STOVEN,Number of stoves (one appliance with cooktop and an oven),115,Numeric,8
115,STOVENFUEL,Fuel used by most-used stove,116,Numeric,8
116,STOVE,Number of separate cooktops,117,Numeric,8
117,STOVEFUEL,Fuel used by most-used separate cooktop,118,Numeric,8
118,OVEN,Number of separate ovens,119,Numeric,8
119,OVENFUEL,Fuel used by separate oven,120,Numeric,8
120,OVENUSE,Frequency of oven use,121,Numeric,8
121,OVENCLN,Self-cleaning oven,122,Numeric,8
